user,data_point,mse
user6,520,0.044482414
user6,521,0.046383142
user6,522,0.03739694
user6,523,0.031177888
user6,524,0.030703021
user6,525,0.031312566
user6,526,0.03321495
user6,527,0.0350882
user6,528,0.03650474
user6,529,0.037270192
user6,530,0.03740253
user6,531,0.036065247
user6,532,0.030753287
user6,533,0.03090007
user6,534,0.0307104
user6,535,0.03306303
user6,536,0.033560757
user6,537,0.033360608
user6,538,0.032849316
user6,539,0.032356437
user6,540,0.03125298
user6,541,0.030697057
user6,542,0.031596724
user6,543,0.040720947
user6,544,0.056488864
user6,545,0.053957403
user6,546,0.039629735
user6,547,0.0313365
user6,548,0.030703412
user6,549,0.031877052
user6,550,0.03305677
user6,551,0.034345087
user6,552,0.035443727
user6,553,0.036566306
user6,554,0.03716861
user6,555,0.03744707
user6,556,0.03406671
user6,557,0.031149067
user6,558,0.030865747
user6,559,0.032841913
user6,560,0.03374461
user6,561,0.033173494
user6,562,0.032063834
user6,563,0.031637248
user6,564,0.031100273
user6,565,0.030722532
user6,566,0.031902127
user6,567,0.034633063
user6,568,0.053027786
user6,569,0.04775427
user6,570,0.040572368
user6,571,0.03174973
user6,572,0.030770425
user6,573,0.030719731
user6,574,0.033279356
user6,575,0.03577209
user6,576,0.03701734
user6,577,0.037709173
user6,578,0.037416298
user6,579,0.034793828
user6,580,0.030696498
user6,581,0.048252746
user6,582,0.030838352
user6,583,0.03201193
user6,584,0.03241511
user6,585,0.03233638
user6,586,0.03195968
user6,587,0.031766016
user6,588,0.031118095
user6,589,0.030704422
user6,590,0.03217346
user6,591,0.04412851
user6,592,0.055476982
user6,593,0.06195355
user6,594,0.048668507
user6,595,0.034052253
user6,596,0.03125135
user6,597,0.03128644
user6,598,0.03234375
user6,599,0.03399269
user6,600,0.0350238
user6,601,0.035418943
user6,602,0.035390105
user6,603,0.034333277
user6,604,0.034908414
user6,605,0.031935394
user6,606,0.030743279
user6,607,0.03101432
user6,608,0.030959848
user6,609,0.030981733
user6,610,0.03096635
user6,611,0.030857861
user6,612,0.030735461
user6,613,0.0307891
user6,614,0.033203922
user6,615,0.046494823
user6,616,0.054864943
user6,617,0.06168252
user6,618,0.057445772
user6,619,0.03359043
user6,620,0.031317744
user6,621,0.030742161
user6,622,0.031071028
user6,623,0.032424502
user6,624,0.033235624
user6,625,0.033981685
user6,626,0.034247547
user6,627,0.03354372
user6,628,0.040911738
user6,629,0.030849366
user6,630,0.03132242
user6,631,0.031415984
user6,632,0.030774359
user6,633,0.031577222
user6,634,0.03200767
user6,635,0.034849033
user6,636,0.038688883
user6,637,0.04474689
user6,638,0.054658517
user6,639,0.079389885
user6,640,0.11200738
user6,641,0.089149185
user6,642,0.06863855
user6,643,0.035620194
user6,644,0.03200768
user6,645,0.03140423
user6,646,0.030701257
user6,647,0.0312529
user6,648,0.032363065
user6,649,0.03329038
user6,650,0.033843283
user6,651,0.033889465
user6,652,0.03292498
user6,653,0.03145233
user6,654,0.031667814
user6,655,0.030830462
user6,656,0.030731408
user6,657,0.032694995
user6,658,0.08021167
user6,659,0.057902053
user6,660,0.0707506
user6,661,0.05885895
user6,662,0.043724954
user6,663,0.05068349
user6,664,0.11009757
user6,665,0.07455696
user6,666,0.048165742
user6,667,0.034387283
user6,668,0.031928577
user6,669,0.030853016
user6,670,0.03101519
user6,671,0.032245632
user6,672,0.03286373
user6,673,0.033193585
user6,674,0.033061653
user6,675,0.032749414
user6,676,0.03197252
user6,677,0.03141951
user6,678,0.042267002
user6,679,0.04449319
user6,680,0.05105255
user6,681,0.038433775
user6,682,0.030759813
user6,683,0.030714214
user6,684,0.03071795
user6,685,0.030781271
user6,686,0.03871813
user6,687,0.041479357
user6,688,0.056130923
user6,689,0.048506774
user6,690,0.04040674
user6,691,0.03606991
user6,692,0.030773064
user6,693,0.031503193
user6,694,0.03355125
user6,695,0.03449951
user6,696,0.034908783
user6,697,0.03494902
user6,698,0.03457468
user6,699,0.033724193
user6,700,0.032373514
user6,701,0.03391051
user6,702,0.04602268
user6,703,0.049150623
user6,704,0.043790556
user6,705,0.031373583
user6,706,0.030829307
user6,707,0.03098586
user6,708,0.03076166
user6,709,0.030771293
user6,710,0.03261265
user6,711,0.04209566
user6,712,0.04822374
user6,713,0.041008137
user6,714,0.040301375
user6,715,0.030706648
user6,716,0.031200217
user6,717,0.032698903
user6,718,0.034043774
user6,719,0.03513208
user6,720,0.035782013
user6,721,0.036162034
user6,722,0.036007434
user6,723,0.03555572
user6,724,0.0306984
user6,725,0.030914377
user6,726,0.03191652
user6,727,0.032411728
user6,728,0.03145924
user6,729,0.030839186
user6,730,0.030830516
user6,731,0.042988744
user6,732,0.035646852
user6,733,0.032615196
user6,734,0.03250723
user6,735,0.03358435
user6,736,0.08778004
user6,737,0.048163287
user6,738,0.037971146
user6,739,0.031659044
user6,740,0.03147781
user6,741,0.033417113
user6,742,0.035082668
user6,743,0.03623085
user6,744,0.036847048
user6,745,0.036787804
user6,746,0.036083926
user6,747,0.034705505
user6,748,0.031843316
user6,749,0.031507645
user6,750,0.031005565
user6,751,0.030808158
user6,752,0.030808194
user6,753,0.0313281
user6,754,0.031283915
user6,755,0.03160174
user6,756,0.03125151
user6,757,0.030718654
user6,758,0.033290952
user6,759,0.035975974
user6,760,0.04111974
user6,761,0.03569091
user6,762,0.03229923
user6,763,0.032764815
user6,764,0.034506295
user6,765,0.035935584
user6,766,0.036881723
user6,767,0.037543856
user6,768,0.03832135
user6,769,0.038498767
user6,770,0.03817204
user6,771,0.037155584
user6,772,0.03537019
user6,773,0.03098753
user6,774,0.03240538
user6,775,0.03075153
user6,776,0.030774351
user6,777,0.03069657
user6,778,0.030725997
user6,779,0.030697124
user6,780,0.030715581
user6,781,0.030706478
user6,782,0.031440124
user6,783,0.033205476
user6,784,0.034833554
user6,785,0.032308016
user6,786,0.03196143
user6,787,0.03070427
user6,788,0.030789725
user6,789,0.032478653
user6,790,0.034293395
user6,791,0.03656678
user6,792,0.038170677
user6,793,0.038713202
user6,794,0.038571928
user6,795,0.037551515
user6,796,0.03549277
user6,797,0.031498786
user6,798,0.03146825
user6,799,0.03087887
